Source	Target	Model	Grammaticality	Meaning Preservation	Simplicity	Overall Quality
They are role models for young women interested in a career in the car industry .	they are also interested in the food industry .	Transformer	4	1	4	1
They are role models for young women interested in a career in the car industry .	they are also creating special for young women .	DMASS	2	1	3	1
They are role models for young women interested in a career in the car industry .	they help young women get jobs in the cars .	BERT	3	2	4	2
Research has shown that primates can produce unique calls for things or events .	scientists know that apes use different calls for things or events .	Reference	4	3	4	3
Research has shown that primates can produce unique calls for things or events .	research has shown that you can grow special calls for things , or events .	PBMT-R	3	1	2	1
Research has shown that primates can produce unique calls for things or events .	research has shown that can produce primates calls or events .	Hybrid	1	1	1	1
Research has shown that primates can produce unique calls for things or events .	researchers can make special calls for things or events .	EncDecA	4	1	3	1
Research has shown that primates can produce unique calls for things or events .	animals can make special calls for things or events .	DRESS	4	1	3	1
Research has shown that primates can produce unique calls for things or events .	primates can produce its calls for things or events .	S2S-All-FA	4	3	4	3
Research has shown that primates can produce unique calls for things or events .	research has shown that primates can produce unique calls .	EditNTS	4	3	4	3
Research has shown that primates can produce unique calls for things or events .	studies show that primates can make people feel unsafe or have trouble with things that are not true .	Transformer	3	1	1	1
Research has shown that primates can produce unique calls for things or events .	studies show that stem can create eye for things or old .	DMASS	1	1	1	1
Research has shown that primates can produce unique calls for things or events .	research has shown that primates can produce unique calls for things or events .	BERT	4	4	2	4
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	scientists know that apes use different calls for things or events .	Reference	4	2	4	2
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	research has shown that you can grow unique calls for things , or events in their environment , such as the arrival of a hunter or discovery of high-quality food .	PBMT-R	3	1	2	1
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	research has shown that can produce primates calls or events or .	Hybrid	1	1	1	1
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	it has shown that chimpanzees can make special calls for things or events in their environment .	EncDecA	4	3	4	3
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	animals can make special calls for things or events in their environment .	DRESS	4	1	4	1
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	primates can produce unique calls for things .	S2S-All-FA	4	2	4	2
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	primates like events are such as a predator or discovery .	EditNTS	1	1	1	1
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	research has shown that primates can produce unique calls for things in their environment .	Transformer	4	3	4	3
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	the study has shown that bees can understand how old a group of objects .	DMASS	2	1	3	1
Research has shown that primates can produce unique calls for things or events in their environment , such as the arrival of a predator or discovery of high-quality food .	they can also be seen by a predator .	BERT	4	1	4	1
Research has shown that primates can produce unique calls for things or events in their environment .	scientists know that apes use different calls for things or events .	Reference	4	2	3	2
Research has shown that primates can produce unique calls for things or events in their environment .	research has shown that you can grow unique calls for things , or events in their environment .	PBMT-R	3	1	2	1
Research has shown that primates can produce unique calls for things or events in their environment .	research has shown that can produce primates calls or events .	Hybrid	1	2	1	1
Research has shown that primates can produce unique calls for things or events in their environment .	animals can make special calls for things or events in their environment .	EncDecA	4	1	4	1
Research has shown that primates can produce unique calls for things or events in their environment .	animals can make special calls for things or events .	DRESS	4	1	4	1
Research has shown that primates can produce unique calls for things or events in their environment .	research has shown that primates can produce unique calls for things .	S2S-All-FA	4	3	4	3
Research has shown that primates can produce unique calls for things or events in their environment .	research has shown that primates can produce unique calls .	EditNTS	4	3	4	3
Research has shown that primates can produce unique calls for things or events in their environment .	studies show that primates can make people feel unsafe for things in their environment .	Transformer	3	1	1	1
Research has shown that primates can produce unique calls for things or events in their environment .	studies show that stem can create eye in their home .	DMASS	1	1	1	1
Research has shown that primates can produce unique calls for things or events in their environment .	they can only make some of the animals that live longer .	BERT	2	1	3	1
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	but they should be more aware of other people 's feelings .	Reference	4	3	4	3
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day is more about being aware of other people 's feelings , and encourage students to reach out to start a conversation with someone they normally do n't talk to them , said reece black .	PBMT-R	3	4	2	4
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was being students to reach out and they do start a conversation talk to said reece black .	Hybrid	1	1	2	1
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was more about being aware of other people 's feelings .	EncDecA	4	3	4	3
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was more about being aware of other people 's feelings .	DRESS	4	3	4	3
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	they want to reach out and start a conversation .	S2S-All-FA	4	1	4	1
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was more about being aware of other people 's feelings .	EditNTS	4	3	4	3
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was more aware of other people 's feelings , and encouraging students to reach out a conversation with someone normally do n't talk , he said .	Transformer	2	3	1	3
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was more than being important of other people 's popularity , and their students to come out and dropped a text with their brains .	DMASS	1	1	1	1
The day was more about being aware of other people 's feelings , and encouraging students to reach out and start a conversation with someone they normally do n't talk to , said Reece Black .	the day was more about being aware of other people 's feelings , he said .	BERT	4	3	4	3
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are role models for young women interested in automobile engineering .	Reference	4	3	4	4
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serve as role models for the next generation of young women interested in auto science and technology .	PBMT-R	3	4	2	4
They are also serving as role models for the next generation of young women interested in automotive science and technology .	serving as they are models for the next generation of women interested .	Hybrid	1	1	1	1
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serving as part models for the next generation of young women interested in science and technology .	EncDecA	3	2	2	2
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serving as part models for the next generation of young women interested in science .	DRESS	3	2	4	2
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serving as role models for the next generation of young women interested in manufacturing science and technology .	S2S-All-FA	4	2	2	2
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serving as role models for next .	EditNTS	3	2	3	2
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serving new models for women who want to go to school .	Transformer	4	1	3	1
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also used to build planes for the next generation of young women who started home .	DMASS	1	1	1	1
They are also serving as role models for the next generation of young women interested in automotive science and technology .	they are also serving as role models for the next generation of young women interested in automotive science and technology .	BERT	4	4	2	4
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	they are role models for young women interested in automobile engineering .	Reference	4	3	4	2
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following three women are making their mark on today 's cars while setting the stage for the next generation of young women interested in auto science and technology .	PBMT-R	4	4	2	4
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following engineers three are making mark while setting the groundwork for the next generation of women interested .	Hybrid	2	1	1	1
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following four women engineers are making their mark on today 's cars while setting the next generation of young women interested in science and technology .	EncDecA	2	2	1	2
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following four women engineers are making their mark on today 's cars .	DRESS	4	2	4	2
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following three women engineers are making their mark on today 's car .	S2S-All-FA	4	2	4	2
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the next generation of young women is good and technology .	EditNTS	2	1	4	1
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following three women are making their own cars .	Transformer	4	1	4	1
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	the following three women are helping their vote on new cars .	DMASS	2	1	3	1
The following three women engineers are making their mark on today 's cars while setting the groundwork for the next generation of young women interested in automotive science and technology .	they are setting the groundwork for the next generation of young women interested in automotive science and technology .	BERT	4	3	2	3
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	but they should be more aware of other people 's feelings .	Reference	4	3	3	3
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be more aware of other people 's feelings , said reece black .	PBMT-R	4	3	2	3
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be said reece black .	Hybrid	1	1	1	1
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be more aware of other people 's feelings , said reece black .	EncDecA	4	3	2	3
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be more aware of other people 's feelings .	DRESS	4	4	3	4
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids with their feelings .	S2S-All-FA	3	1	3	1
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to other people 's feelings .	EditNTS	2	2	3	2
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be more aware of other people 's feelings , blackfoot said .	Transformer	4	3	3	3
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be more aware of other people 's love , said reece black .	DMASS	4	1	2	1
The idea was to get kids to be more aware of other people 's feelings , said Reece Black .	the idea was to get kids to be more aware of other people 's feelings , black macek said .	BERT	3	3	3	3
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	they are role models for young women interested in automobile engineering .	Reference	4	1	4	2
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three women car engineers preparing the groundwork for the next generation of young women interested in auto science and technology .	PBMT-R	4	4	2	4
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three car engineers preparing the groundwork for the next generation of women interested .	Hybrid	3	2	3	2
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three women car engineers preparing the next generation of young women interested in science and technology .	EncDecA	4	3	4	3
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are four women car engineers preparing the way for the next generation of young women .	DRESS	4	3	3	3
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three women car engineers preparing for the next generation of young women .	S2S-All-FA	4	3	3	3
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three women car engineers for young women .	EditNTS	3	1	4	1
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three women working the ground for the next generation of young women in science and technology .	Transformer	3	4	2	4
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	there are three women workers who sells the and for the next generation of young women who started home .	DMASS	1	1	1	1
There are three women car engineers preparing the groundwork for the next generation of young women interested in automotive science and technology .	they are also working on cars that are important for young women .	BERT	4	1	3	1
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	scientists digging on the grounds have found objects from that time .	Reference	4	3	4	3
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	archaeologists digging at the site found items from a 19th century , including a flatiron and milk bottle .	PBMT-R	4	4	2	4
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	archaeologists digging found items and .	Hybrid	3	2	4	2
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	dig at the site found items from the 19th century .	EncDecA	3	3	4	3
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	archaeologists dig at the site found objects from the 20th century .	DRESS	4	1	4	1
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	archaeologists also found items from the 19th century .	S2S-All-FA	4	3	4	3
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	a flatiron and milk bottle are known as .	EditNTS	2	1	2	1
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	archaeologists found items from the 19th century .	Transformer	4	3	4	3
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	archaeologists originally digging up the site of the flatiron found .	DMASS	3	2	3	2
Archaeologists digging at the site found items from the 19th century , including a flatiron and milk bottle .	the scientists found items from the 19th century .	BERT	4	3	4	3
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	scientists digging on the grounds have found objects from that time .	Reference	4	3	4	3
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	an archaeological dig at the village has found 19th-century artifacts , as well . a flatiron and milk bottle .	PBMT-R	3	2	2	2
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	an dig has artifacts and .	Hybrid	1	1	2	1
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	the dig at the site has uncovered 20th-century objects , as well , including a flatiron and milk bottle .	EncDecA	4	1	4	1
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	the dig at the site has dug up the caves .	DRESS	4	1	4	1
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	it has found an archaeological dig at the site .	S2S-All-FA	3	1	4	1
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	an archaeological dig at the site has found old 19th-century artifacts .	EditNTS	4	3	4	3
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	the dig at the archaeological site has unearthed items from the 19th century .	Transformer	4	3	4	3
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	an eruption area at the site has found another night base site .	DMASS	1	1	1	1
An archaeological dig at the site has unearthed 19th-century artifacts , as well , including a flatiron and milk bottle .	an archaeological dig at the site has unearthed 19th-century objects .	BERT	4	3	4	3
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	newsweek magazine talked about the fight for civil rights in 1964 .	Reference	4	3	4	3
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	as people said in 1964 , '' history has never known a protest movement so rich in song , '' he said .	PBMT-R	4	2	2	2
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	newsweek said '' has a history known movement .	Hybrid	1	1	1	1
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	as newsweek said in 1964 , '' history has never known a protest movement so rich in song . ''	EncDecA	4	4	2	4
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	as newsweek said in 1964 , '' history has never known a protest movement so rich in song . ''	DRESS	4	4	2	4
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	newsweek is in 1964 .	S2S-All-FA	3	1	4	1
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	in 1964 , history has never known a protest song .	EditNTS	4	1	4	1
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	it 's known as newsweek ' protest .	Transformer	2	1	3	1
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	as song said in ' , rich found fewer schools have never known a nobel task in spanish .	DMASS	1	1	1	1
As Newsweek said in 1964 , '' History has never known a protest movement so rich in song . ''	as newsweek said in 1964 , ' history has never known a protest movement so rich in song '	BERT	4	4	2	4
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	last week , they finally got a chance to go sledding .	Reference	4	2	4	2
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	after a mostly snowless winter , the overland park , kansas , man was finally get to go sledding with his children .	PBMT-R	4	3	2	4
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	overland the park , kansas , man enjoyed getting to go sledding .	Hybrid	4	3	4	3
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	after a mostly snowless winter , he loved finally getting to go with his children .	EncDecA	4	2	4	2
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	after a mostly snowless winter , he loved finally getting to go with his children .	DRESS	4	2	4	2
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	but the overland park , kansas , was ignored .	S2S-All-FA	1	1	1	1
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	the overland park is a high kansas city .	EditNTS	3	1	3	1
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	after a mostly snowless winter , the park was mainly covered with his children .	Transformer	2	1	1	1
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	after a long reporter , the sledding , to , man , knew that he should go getting with his children .	DMASS	1	1	1	1
After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to go sledding with his children .	after a mostly snowless winter , the overland park , kansas , man enjoyed getting to go sledding with his children .	BERT	4	4	2	4
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	he was glad to see baghdad become a more peaceful city .	Reference	4	3	4	3
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	mustafa shahbaz , 26 , a civil engineer looking for science books and the science fiction books , said he was glad to see the peaceful city he has long been known , instead of the baghdad of bombings and shootings .	PBMT-R	3	4	2	4
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	a engineer looking was he to see the city has instead .	Hybrid	1	1	1	1
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	mustafa shahbaz , 26 , is a civil engineer looking for science books and science fiction books .	EncDecA	4	2	4	2
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	mustafa shahbaz , 26 , is a political engineer looking for science books .	DRESS	4	2	4	2
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	mustafa shahbaz is a scientist .	S2S-All-FA	4	1	4	1
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	mustafa shahbaz , 26 , a civil engineer looking for books .	EditNTS	4	1	4	1
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	mustafa shahba , 26 , a civil engineer looking for books and book novels , said he was glad to see the shootings and the city instead of baghdad .	Transformer	3	1	4	1
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	was , he , a top farmer looking for science and science fiction services .	DMASS	1	1	1	1
Mustafa Shahbaz , 26 , a civil engineer looking for science books and science fiction novels , said he was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	he said he was glad to see the peaceful city he has long known .	BERT	4	3	4	3
He heard the applause when he won .	richie heard the kids who were watching clap when he won .	Reference	3	1	1	1
He heard the applause when he won .	he heard up when he won .	PBMT-R	3	1	2	1
He heard the applause when he won .	he heard the applause he won .	Hybrid	3	3	3	3
He heard the applause when he won .	he heard the excitement when he won .	EncDecA	4	1	2	1
He heard the applause when he won .	he heard the excitement when he won .	DRESS	4	1	2	1
He heard the applause when he won .	he heard a crowd when he won .	S2S-All-FA	4	2	2	1
He heard the applause when he won .	he heard that he won .	EditNTS	4	1	3	1
He heard the applause when he won .	he got the applause when he won .	Transformer	4	3	2	3
He heard the applause when he won .	he heard the applause when he won the nobel prize .	DMASS	4	1	1	1
He heard the applause when he won .	everyone clapped for remsburg .	BERT	4	1	4	1
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	his children begged him to move the house to safe ground .	Reference	4	2	4	2
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	his children , however , were not and they begged him to move the structure to secure ground , the way to community members had found the nearby star of the catholic church months earlier .	PBMT-R	2	2	1	2
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	children were they begged him to move the structure to secure ground , the way members had relocated the star the church .	Hybrid	1	1	1	1
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	they were not and they persuaded him to move the building to secure ground .	EncDecA	4	1	4	2
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	they were not and they persuaded him to move the structure .	DRESS	4	1	4	2
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	his children were not .	S2S-All-FA	3	1	4	1
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	the sea catholic church months earlier .	EditNTS	1	1	3	1
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	they moved him to the ground .	Transformer	3	1	4	1
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	people thought the zebras had , the legs to get their own supplies .	DMASS	1	1	1	1
His children , however , were not and they begged him to move the structure to secure ground , the way community members had relocated the nearby Star of the Sea Catholic church months earlier .	the way community members had relocated the nearby star of the sea catholic church months earlier .	BERT	4	2	4	2
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	the company is working on several projects in china and asia .	Reference	4	1	4	2
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	'' until you know how the , is made , you do n't know how expensive it is to make that , , said josh updike , creative director of rethink leisure & amp ; entertainment , which is working on several projects in china , and elsewhere in asia .	PBMT-R	2	2	1	2
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	'' until you know how the sausage is made , you do n't know how it is expensive to make that sausage , '' said josh updike creative , director of rethink leisure & amp ; entertainment , which is working on several projects in china and elsewhere in asia .	Hybrid	4	4	2	4
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	'' maybe you know how expensive it is to make that beef , '' said josh updike , who works at the rethink leisure & amp .	EncDecA	3	1	3	1
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	'' so you know how the sauce is made , you do n't know how expensive it is to make that cook , '' said josh updike , a director of rethink leisure & amp .	DRESS	1	1	1	1
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	it is working on several projects in china .	S2S-All-FA	4	1	4	1
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	josh updike is a rethink leisure & amp ; entertainment .	EditNTS	2	1	3	1
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is director of creative and movie projects .	Transformer	4	1	4	1
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	creative said you do n't know how the in is made , you do n't know how much it is to make sure that ' , josh updike said director , an ecologist .	DMASS	1	1	1	1
'' Until you know how the sausage is made , you do n't know how expensive it is to make that sausage , '' said Josh Updike , creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is working on several projects in china and elsewhere in asia .	BERT	4	1	4	1
He heard the applause .	richie heard the kids who were watching clap when he won .	Reference	4	1	1	1
He heard the applause .	he heard him .	PBMT-R	4	1	3	1
He heard the applause .	he heard the applause .	Hybrid	4	4	2	4
He heard the applause .	he heard the cheered .	EncDecA	3	2	2	2
He heard the applause .	he heard the applause .	DRESS	4	4	2	4
He heard the applause .	he heard the crowd in the case .	S2S-All-FA	3	1	1	1
He heard the applause .	he heard that the applause would make it hard .	EditNTS	4	1	1	1
He heard the applause .	he was speaking of the applause .	Transformer	4	1	1	1
He heard the applause .	he heard the applause .	DMASS	4	4	2	4
He heard the applause .	everyone clapped for remsburg .	BERT	4	1	2	1
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	the company is working on several projects in china and asia .	Reference	4	3	4	3
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is the creative director of rethink leisure & amp ; entertainment , which is working on several projects in china , and elsewhere in asia .	PBMT-R	4	4	2	4
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is the director ; entertainment is working .	Hybrid	1	1	1	1
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is the director of rethink leisure & amp ; entertainment .	EncDecA	4	3	4	3
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is working on several projects in china and elsewhere in asia .	DRESS	4	3	4	3
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is with rethink leisure & amp ; entertainment .	S2S-All-FA	4	3	4	3
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is in china 's rethink leisure & amp ; entertainment .	EditNTS	2	1	3	1
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is also director of rethink , which is working on several projects in china and elsewhere in asia .	Transformer	4	3	2	4
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	and is the head of in planes .	DMASS	1	1	1	1
He is the creative director of Rethink Leisure & amp ; Entertainment , which is working on several projects in China and elsewhere in Asia .	he is working on several projects in china and elsewhere in asia .	BERT	4	3	4	3
Civil engineer Mustafa Shahbaz , 26 , came looking for science books and science fiction novels , and was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	he was glad to see baghdad become a more peaceful city .	Reference	4	3	4	3
Civil engineer Mustafa Shahbaz , 26 , came looking for science books and science fiction novels , and was glad to see the peaceful city he has long known , instead of the Baghdad of bombings and shootings .	civil engineer mustafa shahbaz , 26 , came looking for science books and the science fiction books , and it was glad to see the peaceful city he has long been known , instead of the baghdad of bombings and shootings .	PBMT-R	3	4	2	4
